"_id","corrected_question","intermediary_question","sparql_query","sparql_template_id"
"1","¿Qué novelas escribió Jules Verne?","¿Cuál es la <novela> cuyo <autor> es <Jules Verne>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_jules_verne> . ?uri a <http://novelas-populares.org/Novela> }","301"
"2","¿En qué ciudad nació Maurice Leblanc?","¿Cuál es el <lugar de nacimiento> de <Maurice Leblanc>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_maurice_leblanc> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"3","¿Qué editorial publicó la novela Malasia?","¿Cuál es la <editorial> de <Malasia>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859705065> <http://novelas-populares.org/publicadaPor> ?uri }","2"
"4","¿En qué idioma fue escrita originalmente Los conquistadores del polo?","¿Cuál es el <idioma original> de <Los conquistadores del polo>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814866396> <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","2"
"5","¿Cuál es el lugar de nacimiento de Ramón Sopena?","¿Cuál es el <lugar de nacimiento> de <Ramón Sopena>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editor_ramon_sopena> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"6","¿En qué ciudad se publicó Llamas sobre el Bósforo?","¿Cuál es la <ciudad de publicación> de <Llamas sobre el Bósforo>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859682529> <http://novelas-populares.org/publicadaEnCiudad> ?uri }","2"
"7","¿Quién fundó la Casa Editorial Maucci?","¿Cuál es el <fundador> de <Casa Editorial Maucci>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editorial_casa_editorial_maucci> <http://novelas-populares.org/fundadaPor> ?uri }","2"
"8","¿En qué idioma está el ejemplar de Retorn al sol?","¿Cuál es el <idioma del ejemplar> de <Retorn al sol>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814868437> <http://novelas-populares.org/tieneIdiomaEjemplar> ?uri }","2"
"9","¿En qué país nació Alexandre Dumas?","¿Cuál es el <país de nacimiento> de <Alexandre Dumas>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_alexandre_dumas> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"10","¿Quién escribió Los héroes del aire?","¿Cuál es el <autor> de <Los héroes del aire>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859704832> <http://novelas-populares.org/tieneAutor> ?uri }","2"
"11","¿Qué novelas publicó la Editorial Sopena?","¿Cuál es la <novela> cuya <editorial> es <Editorial Sopena>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_editorial_sopena> . ?uri a <http://novelas-populares.org/Novela> }","301"
"12","¿En qué ciudad nació Emanuele Maucci?","¿Cuál es el <lugar de nacimiento> de <Emanuele Maucci>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editor_emanuele_maucci> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"13","¿Cuál es el autor de ¡Huérfana!?","¿Cuál es el <autor> de <¡Huérfana!>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1682509273> <http://novelas-populares.org/tieneAutor> ?uri }","2"
"14","¿En qué país nació Emilio Salgari?","¿Cuál es el <país de nacimiento> de <Emilio Salgari>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_emilio_salgari> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
