"_id","corrected_question","intermediary_question","sparql_query","sparql_template_id"
"1","¿Quién escribió El bufón por sacrificio?","¿Cuál es el <autor> de <El bufón por sacrificio>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859706819> <http://novelas-populares.org/tieneAutor> ?uri }","2"
"2","¿En qué ciudad nació Gaston Leroux?","¿Cuál es el <lugar de nacimiento> de <Gaston Leroux>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_gaston_leroux> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"3","¿Qué editorial publicó El proceso Lerouge?","¿Cuál es la <editorial> de <El proceso Lerouge>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1859638538> <http://novelas-populares.org/publicadaPor> ?uri }","2"
"4","¿En qué idioma está el ejemplar de El buque maldito?","¿Cuál es el <idioma del ejemplar> de <El buque maldito>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814752439> <http://novelas-populares.org/tieneIdiomaEjemplar> ?uri }","2"
"5","¿En qué ciudad nació Emilio Salgari?","¿Cuál es el <lugar de nacimiento> de <Emilio Salgari>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_emilio_salgari> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"6","¿En qué ciudad se publicó El capitán de la Estrella Polar?","¿Cuál es la <ciudad de publicación> de <El capitán de la Estrella Polar>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1679988735> <http://novelas-populares.org/publicadaEnCiudad> ?uri }","2"
"7","¿Quién fundó la Editorial Juventud?","¿Cuál es el <fundador> de <Editorial Juventud>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editorial_editorial_juventud> <http://novelas-populares.org/fundadaPor> ?uri }","2"
"8","¿Cuál es el idioma original de El último mohicano?","¿Cuál es el <idioma original> de <El último mohicano>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814865829> <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","2"
"9","¿En qué país nació Henryk Sienkiewicz?","¿Cuál es el <país de nacimiento> de <Henryk Sienkiewicz>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_henryk_sienkiewicz> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"10","¿Quién escribió Aventuras de Sherlock Holmes?","¿Cuál es el <autor> de <Aventuras de Sherlock Holmes>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814792333> <http://novelas-populares.org/tieneAutor> ?uri }","2"
"11","¿Qué novelas escribió Maurice Leblanc?","¿Cuál es la <novela> cuyo <autor> es <Maurice Leblanc>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/tieneAutor> <http://novelas-populares.org/autor_maurice_leblanc> . ?uri a <http://novelas-populares.org/Novela> }","301"
"12","¿En qué ciudad nació Walter Scott?","¿Cuál es el <lugar de nacimiento> de <Walter Scott>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_walter_scott> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"13","¿Cuál es el idioma original de El jorobado?","¿Cuál es el <idioma original> de <El jorobado>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1832910172> <http://novelas-populares.org/tieneIdiomaOriginal> ?uri }","2"
"14","¿En qué país nació Edgar Rice Burroughs?","¿Cuál es el <país de nacimiento> de <Edgar Rice Burroughs>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_edgar_rice_burroughs> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"15","¿Qué editorial publicó El cofre misterioso?","¿Cuál es la <editorial> de <El cofre misterioso>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1856424405> <http://novelas-populares.org/publicadaPor> ?uri }","2"
"16","¿Qué novelas publicó la Editorial Renacimiento?","¿Cuál es la <novela> cuya <editorial> es <Renacimiento>?","SELECT DISTINCT ?uri WHERE { ?uri <http://novelas-populares.org/publicadaPor> <http://novelas-populares.org/editorial_renacimiento> . ?uri a <http://novelas-populares.org/Novela> }","301"
"17","¿En qué ciudad nació Alphonse de Lamartine?","¿Cuál es el <lugar de nacimiento> de <Alphonse de Lamartine>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_alphonse_de_lamartine> <http://novelas-populares.org/lugarDeNacimiento> ?uri }","2"
"18","¿Quién fundó la Editorial Aguilar?","¿Cuál es el <fundador> de <Aguilar>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/editorial_aguilar> <http://novelas-populares.org/fundadaPor> ?uri }","2"
"19","¿En qué país nació Wilkie Collins?","¿Cuál es el <país de nacimiento> de <Wilkie Collins>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/autor_wilkie_collins> <http://novelas-populares.org/paisDeNacimiento> ?uri }","2"
"20","¿En qué ciudad se publicó El último mohicano?","¿Cuál es la <ciudad de publicación> de <El último mohicano>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1814865829> <http://novelas-populares.org/publicadaEnCiudad> ?uri }","2"
"21","¿Cuál es el idioma del ejemplar de El Conde de Monte-Cristo?","¿Cuál es el <idioma del ejemplar> de <El Conde de Monte-Cristo>?","SELECT DISTINCT ?uri WHERE { <http://novelas-populares.org/novela_1747437387> <http://novelas-populares.org/tieneIdiomaEjemplar> ?uri }","2"
